P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
davidsonii	praeteritus_2_0471	fruticosus	-99999.9	1.0	-0.6321496754933795	65517822.484375	6664004.203125	4807661.265625	3596738.515625	2126866.28125	7379770.015625	2551926.265625	1696370.53125	2147258.890625	30190960.390625	3761082.53125	1499604.34375	4362657.59375	5897610.34375	985372.34375
davidsonii	praeteritus_96_0049	fruticosus	0.10641828711784156	0.4576251892991814	0.0056797026205525625	65032315.21875	6954376.96875	5703434.15625	4060286.96875	2447282.9375	7858682.59375	2512915.34375	2040474.625	2521754.15625	31522957.53125	4505896.125	1723542.625	4159730.5	6726382.9375	1205384.3125
davidsonii	praeteritus_96_0105	fruticosus	-99999.9	1.0	-0.23139094135618424	65781198.9375	7109097.6875	4787956.5	3773454.8125	2119768.8125	7854585.8125	2533149.0625	2005644.25	2300082.9375	31125763.75	4156127.9375	1490530.0625	4099652.25	6338512.9375	1067870.25
davidsonii	praeteritus_BWS_118_5	fruticosus	12.12695602649428	0.0	0.23035283475685878	66435743.84375	7895142.09375	5901926.78125	6407888.96875	4017961.3125	9879873.28125	2782964.96875	3175817.8125	3867892.65625	35303292.46875	7131753.6875	3214544.9375	4991198.6875	11266641.1875	2627799.3125
davidsonii	praeteritus_BWS_118_9	fruticosus	13.730621217572322	0.0	0.2502765203622857	66304516.65625	7775832.65625	5994543.34375	6375787.78125	4047953.5625	9610288.03125	2690610.71875	3077352.4375	3920815.34375	35383019.03125	7122949.5625	3307126.625	4872992.5	11158230.5	2605977.25
davidsonii	praeteritus_BWS_119_6	fruticosus	15.93905411810504	0.0	0.2758894160963603	67586725.015625	8845221.359375	5172515.609375	6700249.921875	4035352.59375	10646634.609375	2794388.109375	3698981.65625	4282539.171875	36825477.796875	8101048.40625	3297587.09375	4721150.71875	12069892.65625	2855266.28125
davidsonii	praeteritus_BWS_119_9	fruticosus	-99999.9	1.0	-0.5112544416680425	65557372.109375	6769752.078125	4800591.828125	3643678.203125	2111682.78125	7524643.515625	2521242.515625	1766636.28125	2141524.703125	30482227.078125	3784562.03125	1501363.34375	4269773.96875	6047502.84375	1023033.71875
davidsonii	praeteritus_BWS_120_2	fruticosus	-99999.9	1.0	4.504587576858748	65403706.515625	6606833.484375	4705529.859375	3195953.296875	1814191.59375	7264368.484375	2599156.859375	1653182.90625	1832070.359375	29528317.609375	3228092.28125	1163845.28125	4264919.15625	5172486.59375	747370.71875
davidsonii	praeteritus_BWS_120_3	fruticosus	-99999.9	1.0	2.971797564534819	65194368.375	6775337.125	4965110.3125	3261792.8125	1889216.625	7346740.625	2740054.4375	1765633.6875	1953715.6875	29385917.625	3473518.1875	1264657.75	4538906.0	5328548.5625	851203.1875
davidsonii	praeteritus_BWS_121_3	fruticosus	-99999.9	1.0	-13.883533135518796	62478047.484375	4822141.328125	7238982.578125	3187036.953125	2364459.90625	5923503.640625	2407050.515625	854268.78125	1679470.078125	28244313.203125	2478727.40625	1415630.71875	4488861.46875	4417550.46875	554765.46875
davidsonii	praeteritus_BWS_121_4	fruticosus	-99999.9	1.0	-2.7301043801668348	65389183.953125	6422858.546875	4768517.546875	3429056.609375	1960955.09375	7230653.671875	2530927.671875	1601246.65625	1873577.234375	29794553.734375	3202991.53125	1342217.34375	4246776.59375	5560378.78125	818467.03125
davidsonii	praeteritus_BWS_122_1	fruticosus	-99999.9	1.0	5.061834047238136	64257272.765625	5913273.296875	5621683.046875	3130742.984375	2021119.90625	6537250.734375	2540446.796875	1279697.40625	1804823.109375	28814777.359375	2927095.96875	1363300.84375	4473776.03125	4793098.65625	701543.09375
davidsonii	praeteritus_BWS_122_3	fruticosus	-99999.9	1.0	-5.9264721487708885	64611287.59375	5901750.90625	5435099.03125	3332866.78125	2169663.4375	6785377.96875	2533280.03125	1372345.75	1849132.53125	29182765.09375	3061744.875	1418209.875	4464561.0	5151908.0625	801803.0625
davidsonii	menziesii_BWS_103_2	fruticosus	2.8416757459980237	0.002243919139249595	0.26098741787160595	57865654.828125	6349502.359375	12788979.421875	3868144.296875	3226845.34375	5981719.046875	3184353.921875	1790599.09375	3425839.234375	29026125.609375	5473371.96875	2678486.21875	5913940.21875	5822070.46875	1364531.96875
davidsonii	menziesii_BWS_103_9	fruticosus	11.379405481584282	0.0	0.41629723159329324	63029983.546875	7490768.515625	8133341.078125	4287946.265625	3161353.84375	6944605.390625	2804362.765625	2102921.28125	3862455.578125	31655269.390625	6574602.96875	2768750.65625	5179167.46875	7071701.90625	1704710.34375
davidsonii	menziesii_BWS_104_5	fruticosus	21.11160771833808	0.0	0.4394315435105762	67619179.09375	10152804.84375	5080069.03125	5794410.15625	3512983.875	9279363.46875	2821261.78125	3515093.0625	5151923.03125	36472053.53125	9348399.5	3670107.625	4903771.8125	10830106.75	2805409.4375
davidsonii	menziesii_OSTL_4	fruticosus	-0.5013211384304587	0.6919274367404349	0.051547063343912417	64272227.125	7160876.9375	5317584.875	1779285.0	1293738.0625	4959273.25	2525446.5	1015995.9375	2484893.6875	28026656.0	3896384.5	1424872.5625	4450889.0	2668283.625	456347.9375
davidsonii	menziesii_UWTL_1	fruticosus	-0.929796476474909	0.8237617822785936	0.07703296763423692	65561567.640625	8143547.109375	4341316.484375	1791084.796875	1059256.21875	5540115.421875	2708307.109375	1536287.46875	2631753.609375	28593067.671875	4295739.71875	1458447.34375	4448011.84375	3093576.71875	610513.84375
davidsonii	menziesii_UWTL_2	fruticosus	15.372644992498659	0.0	0.4446000387657799	66252645.75	9128087.125	5538966.9375	4676569.125	2891148.8125	8227446.4375	2737937.75	2746105.9375	4289820.4375	33920420.8125	7699249.125	2814232.4375	4734639.25	8458589.125	2043503.9375
davidsonii	menziesii_UWTL_22_SHL_19.68	fruticosus	-7.510114540822256	0.9999999999999702	0.4610499920746695	60888564.828125	6182584.921875	8773522.984375	2429355.609375	2048530.40625	4950513.921875	3110665.421875	1080017.90625	2527832.359375	26528328.546875	3771405.59375	1815741.65625	5721454.71875	3398641.09375	634164.03125
davidsonii	menziesii_UWTL_5	fruticosus	14.577248361532673	0.0	0.48947581164364423	65767229.984375	8768732.703125	5714868.453125	4230175.328125	2775271.53125	7434443.765625	2628126.015625	2475575.03125	4164124.515625	33254432.640625	7249524.15625	2815810.28125	4608532.40625	7509475.78125	1869777.40625
davidsonii	menziesii_UWTL_7	fruticosus	-5.274442813839013	0.9999999332842278	0.2472126413797586	63911368.515625	7146749.671875	5636590.609375	1576553.109375	1196753.59375	4903321.234375	2731836.484375	1054948.09375	2352445.609375	27192839.484375	3659800.96875	1304708.03125	4753371.65625	2300480.40625	387088.53125
davidsonii	menziesii_UWTL_8	fruticosus	3.469692097207305	0.0002605741756158686	0.6078345002980732	65452470.578125	7889133.921875	4936498.734375	2872259.171875	1793555.84375	6286885.984375	2600326.859375	1696165.65625	3021806.671875	30183873.421875	5062798.90625	1876811.03125	4480063.65625	4903331.59375	1005116.96875
davidsonii	P_fruticosus_Pop8_18.0826	fruticosus	9.130260190822971	0.0	0.21321288961701473	60276853.328125	7185718.984375	12324778.921875	6868369.671875	5011522.34375	9295760.921875	3586364.296875	3333216.21875	4475760.984375	33548391.359375	7897846.59375	3942374.34375	6693905.84375	11560870.21875	2912550.96875
davidsonii	P_fruticosus_Pop8_18.0827	fruticosus	7.741235614636845	4.884981308350689e-15	0.19581483025215984	57296104.125	6587435.125	15153744.0	6809361.6875	5179931.5625	8535499.25	3693640.4375	3119323.3125	4452302.0625	32599789.9375	7509436.75	4235029.0625	7062391.5	11232537.75	2860222.4375
davidsonii	serratus_2_047	fruticosus	18.001117753751423	0.0	0.3137933767087489	67626258.71875	9208430.34375	5188465.84375	6573044.09375	3955824.0	10385368.34375	2786788.65625	3685593.4375	4518194.09375	36987708.84375	8445051.5	3478303.0	4743102.9375	12005801.75	2912097.4375
