abietinus_16_459	outgroup
davidsonii_0_013	davidsonii
davidsonii_96_0177	davidsonii
davidsonii_BWS_115_3	davidsonii
davidsonii_BWS_115_8	davidsonii
davidsonii_BWS_116.10_18.0846	davidsonii
davidsonii_BWS_116_7	davidsonii
davidsonii_BWS_117_1	davidsonii
davidsonii_BWS_117_4	davidsonii
davidsonii_BWS_23_11	davidsonii
davidsonii_BWS_23_4	davidsonii
davidsonii_BWS_23_7	davidsonii
davidsonii_BWS_25_1	davidsonii
davidsonii_BWS_25_6	davidsonii
davidsonii_BWS_27_12	davidsonii
davidsonii_BWS_27_2	davidsonii
davidsonii_BWS_27_7	davidsonii
davidsonii_BWS_87_1	davidsonii
davidsonii_BWS_87_2	davidsonii
davidsonii_BWS_95_10	davidsonii
davidsonii_BWS_95_5	davidsonii
davidsonii_OSTL_1	davidsonii
davidsonii_OSTL_2	davidsonii
davidsonii_UWTL_11	davidsonii
davidsonii_UWTL_13_SHL_19.59	davidsonii
davidsonii_UWTL_3	davidsonii
davidsonii_UWTL_4	davidsonii
fruticosus_96_0023	fruticosus
fruticosus_96_0149	fruticosus
fruticosus_BWS_102_6	fruticosus
fruticosus_BWS_102_8	fruticosus
fruticosus_BWS_106_1	fruticosus
fruticosus_BWS_106_2	fruticosus
fruticosus_BWS_107_4	fruticosus
fruticosus_BWS_107_7	fruticosus
fruticosus_BWS_54_3	fruticosus
fruticosus_BWS_55_1	fruticosus
fruticosus_BWS_55_2	fruticosus
fruticosus_BWS_56_4	fruticosus
fruticosus_BWS_56_5	fruticosus
fruticosus_BWS_58_6	fruticosus
fruticosus_BWS_58_9	fruticosus
fruticosus_BWS_59_2	fruticosus
fruticosus_BWS_59_7	fruticosus
fruticosus_BWS_60_4	fruticosus
fruticosus_BWS_60_6	fruticosus
fruticosus_BWS_62_1	fruticosus
fruticosus_BWS_62_8	fruticosus
fruticosus_BWS_63_2	fruticosus
fruticosus_BWS_63_3	fruticosus
fruticosus_BWS_69_4	fruticosus
fruticosus_BWS_69_5	fruticosus
fruticosus_BWS_7_15	fruticosus
fruticosus_BWS_7_17	fruticosus
fruticosus_BWS_7_24	fruticosus
fruticosus_BWS_93_6	fruticosus
fruticosus_OSTL_11	fruticosus
fruticosus_OSTL_12	fruticosus
fruticosus_OSTL_13	fruticosus
fruticosus_OSTL_14	fruticosus
fruticosus_OSTL_15	fruticosus
fruticosus_OSTL_16	fruticosus
fruticosus_OSTL_9	fruticosus
fruticosus_Pop2_17.0622	fruticosus
fruticosus_Pop2_17.0623	fruticosus
fruticosus_Pop2_17.0626	fruticosus
fruticosus_Pop2_17.0631	fruticosus
fruticosus_Pop2_17.0632	fruticosus
fruticosus_Pop2_17.0633	fruticosus
fruticosus_Pop3_17.0645	fruticosus
fruticosus_Pop3_17.0646	fruticosus
fruticosus_Pop3_17.0647	fruticosus
fruticosus_Pop3_17.0648	fruticosus
fruticosus_Pop3_17.0649	fruticosus
fruticosus_Pop3_17.065	fruticosus
fruticosus_Pop3_17.0651	fruticosus
fruticosus_Pop3_17.0652	fruticosus
fruticosus_Pop4_17.0697	fruticosus
fruticosus_Pop4_17.0699	fruticosus
fruticosus_Pop4_17.0702	fruticosus
menziesii_BWS_103_2	menziesii
menziesii_BWS_103_9	menziesii
menziesii_BWS_104_5	menziesii
menziesii_OSTL_4	menziesii
menziesii_UWTL_1	menziesii
menziesii_UWTL_2	menziesii
menziesii_UWTL_22_SHL_19.68	menziesii
menziesii_UWTL_5	menziesii
menziesii_UWTL_7	menziesii
menziesii_UWTL_8	menziesii
